words	rst	class	segment	rst_code	class_code
It was amazing to me that minors were required	elaboration	Argument	2574	9	0
that minors were required to get parental consent	attribution	Argument	2574	1	0
but they were allowed to have this major surgical procedure without their parents	manner	Argument	2574	13	0
having any say whatsoever .	attribution	Argument	2574	1	0
before getting ears pierced or a tattoo , but they were allowed to have this major surgical procedure	antithesis	Argument	2574	0	0
to get parental consent before getting ears pierced or a tattoo ,	attribution	Argument	2574	1	0
without their parents whatsoever .	list	Argument	2574	12	0
Objection : A cell in the body has human DNA and is alive	elaboration	Argument	1253	9	0
A cell in the body has human DNA and is alive and it 's okay to kill it .	list	Argument	1253	12	0
government and employer funding of highly reliable contraception , your vote will reduce abortions .	attribution	NoArgument	1313	1	1
and even expanding government and employer	attribution	NoArgument	1313	1	1
If your candidate focuses on maintaining and even expanding	condition	NoArgument	1313	5	1
No women should have to abort her child to participate fully in society .	purpose	Argument	2382	16	0
The United States and New Zealand are the only two countries where direct-to-consumer ( DTC ) advertising of prescription drugs is legal . The United States and New Zealand are the only two countries where direct-to-consumer ( DTC ) advertising of prescription drugs is legal .	none	NoArgument	1732	15	1
So let 's look at the fruits . So let 's look at the fruits .	none	NoArgument	284	15	1
That means that by the time you finish reading one of our anti abortion articles dozens more preborn babies will be lost .	elaboration	Argument	848	9	0
And with 1.5 million American families wanting to adopt a child , there is no such thing	elaboration	Argument	3500	9	0
1.5 million American families wanting to adopt a child , there is no such thing as an unwanted child .	elaboration	Argument	3500	9	0
Will it next take away the right to use other birth control methods such as The Pill ?	purpose	Argument	1346	16	0
Because it is human in nature , if left to live , it will result in a fully developed human baby . Because it is human in nature , if left to live , it will result in a fully developed human baby .	none	Argument	2114	15	0
Many took the day off work and school and did not do domestic chores in a day of action inspired by a 1975 women 's strike in Iceland .	list	NoArgument	1742	12	1
Just because the babies ca n't speak for themselves does n't mean they have no rights . Just because the babies ca n't speak for themselves does n't mean they have no rights .	none	Argument	3175	15	0
If you belive in god gods . If you belive in god gods .	none	NoArgument	146	15	1
TRUMP : I would n't fund it	elaboration	NoArgument	625	9	1
I would n't fund it if they have abortion going on .	condition	NoArgument	625	5	1
This means it has to steer monetary policy	elaboration	NoArgument	3	9	1
to steer monetary policy to (	elaboration	NoArgument	3	9	1
to ( a ) keep prices stable , and to ( b ) keep unemployment low and the economy growing .	elaboration	NoArgument	3	9	1
TRUMP : I 've evolved on many issues over the years .	textualorganization	NoArgument	105	23	1
We did parental notification laws . We did parental notification laws .	none	NoArgument	1768	15	1
And by chance there came down a certain priest that way : and when he saw him , he passed by on the other side .	list	NoArgument	3275	12	1
In the United States , pro-life groups favor greater legal restrictions on abortion , or even the complete prohibition of it . In the United States , pro-life groups favor greater legal restrictions on abortion , or even the complete prohibition of it .	none	Argument	77	15	0
The cardiovascular system is the first major system to function .	elaboration	Argument	3628	9	0
Today , parents can see the development of their children with their own eyes . Today , parents can see the development of their children with their own eyes .	none	Argument	1465	15	0
that the question of abortion will be solved until there is a broad consensus on the subject and until that	condition	NoArgument	1932	5	1
until there is a broad consensus on the subject and until that time it is inappropriate to be advocating constitutional amendments .	elaboration	NoArgument	1932	9	1
I do not believe that the question of abortion will be solved	attribution	NoArgument	1932	1	1
Now our nonprofit really needs your help . Now our nonprofit really needs your help .	none	NoArgument	44	15	1
When abortion occurs because of societal pressures , women sometimes have to resort to unsafe	reason	Argument	1204	18	0
because of societal pressures , women sometimes have to resort to unsafe practices	elaboration	Argument	1204	9	0
practices because the legalized healthcare route is not an option .	reason	Argument	1204	18	0
A lot of people consider it an abortion clinic . A lot of people consider it an abortion clinic .	none	NoArgument	142	15	1
that they are pro-life but does not advocate changing the law	elaboration	NoArgument	1858	9	1
but does not advocate changing the law to make abortion illegal ( for example , by overturning Roe	elaboration	NoArgument	1858	9	1
to make abortion illegal ( for example , by overturning Roe v. Wade or supporting a constitutional amendment to do	elaboration	NoArgument	1858	9	1
v. Wade or supporting a constitutional amendment to do so	elaboration	NoArgument	1858	9	1
so ) ,	elaboration	NoArgument	1858	9	1
if a candidate states that they are pro-life	attribution	NoArgument	1858	1	1
Thus , if a candidate states	attribution	NoArgument	1858	1	1
then we list them as Not Clearly Pro or Con .	list	NoArgument	1858	12	1
) , then we list them	sequence	NoArgument	1858	21	1
There is significant debate over when in pregnancy a fetus can feel pain .	attribution	NoArgument	100	1	1
Abortion is not murder because it is performed	reason	Argument	642	18	0
because it is performed before a fetus has developed into a human person .	temporal	Argument	642	22	0
The overriding concern was to get the laws eliminated , and anything within reason that had to be done was permissible .	elaboration	NoArgument	2900	9	1
Further , women would once more be forced to break the law to receive medical care , and	elaboration	Argument	94	9	0
once more their dignity would be lost in the process .	circumstance	Argument	94	2	0
to receive medical care , and once	attribution	Argument	94	1	0
Hundreds of millions of dollars , so	elaboration	NoArgument	1617	9	1
so I really do n't know .	attribution	NoArgument	1617	1	1
Who knows what other controls the government may legislate in the future . Who knows what other controls the government may legislate in the future .	none	Argument	3369	15	0
Sophie Borland , The foetus who broke into a big	elaboration	NoArgument	297	9	1
who broke into a big smile ...	elaboration	NoArgument	297	9	1
aged only 17 weeks , Daily Mail , October 11 , 2010 , accessed April 4 ,	elaboration	NoArgument	297	9	1
